Unemployment_Rate : Rural
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
India, 03-01-2016, W, 9.34, 192719067.00, 34.09
India, 10-01-2016, W, 10.09, 272633097.00, 48.61
India, 17-01-2016, W, 5.57, 285486338.00, 48.44
India, 24-01-2016, W, 4.33, 290846379.00, 48.69
India, 31-01-2016, W, 12.15, 268488879.00, 48.93
India, 07-02-2016, W, 5.39, 277808644.00, 46.99
India, 14-02-2016, W, 7.25, 277540990.00, 47.87
India, 21-02-2016, W, 6.95, 276358636.00, 47.49
India, 28-02-2016, W, 6.80, 279001304.00, 47.85
India, 06-03-2016, W, 10.87, 272751362.00, 48.89
India, 13-03-2016, W, 8.53, 274051465.00, 47.84
India, 20-03-2016, W, 10.04, 277704432.00, 49.28
India, 27-03-2016, W, 7.79, 254112857.00, 43.97
India, 03-04-2016, W, 5.54, 278893070.00, 47.09
India, 10-04-2016, W, 8.36, 288760810.00, 50.23
India, 17-04-2016, W, 9.35, 273776957.00, 48.12
India, 24-04-2016, W, 8.33, 271281219.00, 47.13
India, 01-05-2016, W, 7.14, 272828903.00, 46.78
India, 08-05-2016, W, 10.08, 278191670.00, 49.23
India, 15-05-2016, W, 8.35, 287158622.00, 49.84
India, 22-05-2016, W, 5.79, 294907133.00, 49.77
India, 29-05-2016, W, 8.93, 285516879.00, 49.83
India, 05-06-2016, W, 8.50, 276015594.00, 47.92
India, 12-06-2016, W, 8.05, 275200526.00, 47.52
India, 19-06-2016, W, 8.41, 276007277.00, 47.83
India, 26-06-2016, W, 6.44, 272558068.00, 46.22
India, 03-07-2016, W, 9.88, 269355159.00, 47.40
India, 10-07-2016, W, 7.19, 278962617.00, 47.65
India, 17-07-2016, W, 5.88, 276547859.00, 46.56
India, 24-07-2016, W, 7.98, 283148620.00, 48.74
India, 31-07-2016, W, 6.78, 269053335.00, 45.69
India, 07-08-2016, W, 10.38, 276097264.00, 48.75
India, 14-08-2016, W, 7.74, 284713584.00, 48.81
India, 21-08-2016, W, 8.97, 272538236.00, 47.33
India, 28-08-2016, W, 10.16, 280075040.00, 49.27
India, 04-09-2016, W, 9.74, 273430490.00, 47.85
India, 11-09-2016, W, 8.22, 302003002.00, 51.96
India, 18-09-2016, W, 8.10, 290720742.00, 49.93
India, 25-09-2016, W, 8.12, 299348867.00, 51.40
India, 02-10-2016, W, 6.61, 293178085.00, 49.50
India, 09-10-2016, W, 8.51, 288850357.00, 49.77
India, 16-10-2016, W, 7.40, 277142418.00, 47.16
India, 23-10-2016, W, 5.74, 287923250.00, 48.11
India, 30-10-2016, W, 4.37, 286550939.00, 47.17
India, 06-11-2016, W, 5.41, 288881101.00, 48.06
India, 13-11-2016, W, 5.21, 275073892.00, 45.64
India, 20-11-2016, W, 5.60, 289302811.00, 48.18
India, 27-11-2016, W, 3.43, 282499940.00, 45.97
India, 04-12-2016, W, 5.11, 270809584.00, 44.83
India, 11-12-2016, W, 5.17, 294067291.00, 48.69
India, 18-12-2016, W, 6.66, 275265154.00, 46.29
India, 25-12-2016, W, 6.01, 276201862.00, 46.10
India, 01-01-2017, W, 4.01, 273818642.00, 44.73
India, 08-01-2017, W, 5.06, 282979279.00, 46.72
India, 15-01-2017, W, 5.06, 274061571.00, 45.23
India, 22-01-2017, W, 3.08, 307672739.00, 49.72
India, 29-01-2017, W, 4.47, 288873598.00, 47.34
India, 05-02-2017, W, 7.17, 286635388.00, 48.31
India, 12-02-2017, W, 4.29, 295583189.00, 48.30
