Unemployment_Rate : Total
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
India, 03-01-2016, W, 8.97, 303166709.00, 35.55
India, 10-01-2016, W, 10.19, 399045948.00, 47.41
India, 17-01-2016, W, 6.86, 411660428.00, 47.14
India, 24-01-2016, W, 6.06, 418592936.00, 47.50
India, 31-01-2016, W, 11.42, 393343265.00, 47.31
India, 07-02-2016, W, 7.10, 405856543.00, 46.53
India, 14-02-2016, W, 8.30, 400622117.00, 46.51
India, 21-02-2016, W, 8.15, 406000147.00, 47.04
India, 28-02-2016, W, 7.57, 405005805.00, 46.60
India, 06-03-2016, W, 10.76, 401489250.00, 47.83
India, 13-03-2016, W, 9.21, 401159285.00, 46.96
India, 20-03-2016, W, 10.40, 401894160.00, 47.64
India, 27-03-2016, W, 9.42, 376809424.00, 44.17
India, 03-04-2016, W, 7.60, 406325553.00, 46.67
India, 10-04-2016, W, 9.71, 412375399.00, 48.45
India, 17-04-2016, W, 10.20, 401982878.00, 47.46
India, 24-04-2016, W, 9.30, 397845537.00, 46.48
India, 01-05-2016, W, 8.43, 400625761.00, 46.35
India, 08-05-2016, W, 10.27, 410248040.00, 48.41
India, 15-05-2016, W, 9.48, 412940179.00, 48.28
India, 22-05-2016, W, 8.08, 421754520.00, 48.54
India, 29-05-2016, W, 9.70, 411107513.00, 48.14
India, 05-06-2016, W, 8.99, 402645839.00, 46.76
India, 12-06-2016, W, 8.66, 405602858.00, 46.92
India, 19-06-2016, W, 9.28, 407006715.00, 47.38
India, 26-06-2016, W, 7.62, 400441256.00, 45.76
India, 03-07-2016, W, 10.18, 395275078.00, 46.43
India, 10-07-2016, W, 7.90, 404584824.00, 46.33
India, 17-07-2016, W, 7.40, 403622543.00, 45.94
India, 24-07-2016, W, 9.07, 411462061.00, 47.68
India, 31-07-2016, W, 8.56, 397317572.00, 45.76
India, 07-08-2016, W, 10.57, 407469011.00, 47.96
India, 14-08-2016, W, 9.10, 412822093.00, 47.79
India, 21-08-2016, W, 9.69, 401682986.00, 46.78
India, 28-08-2016, W, 10.15, 407189994.00, 47.64
India, 04-09-2016, W, 9.94, 402501906.00, 46.96
India, 11-09-2016, W, 8.38, 434542168.00, 49.81
India, 18-09-2016, W, 8.48, 422724814.00, 48.49
India, 25-09-2016, W, 8.87, 429755089.00, 49.49
India, 02-10-2016, W, 7.52, 424591996.00, 48.15
India, 09-10-2016, W, 8.60, 422179322.00, 48.43
India, 16-10-2016, W, 6.68, 413569938.00, 46.44
India, 23-10-2016, W, 5.92, 422453359.00, 47.03
India, 30-10-2016, W, 5.03, 420207701.00, 46.33
India, 06-11-2016, W, 6.15, 418143018.00, 46.62
India, 13-11-2016, W, 5.89, 406451490.00, 45.18
India, 20-11-2016, W, 6.85, 422213445.00, 47.39
India, 27-11-2016, W, 4.49, 412328537.00, 45.12
India, 04-12-2016, W, 5.58, 401470122.00, 44.42
India, 11-12-2016, W, 6.06, 423707051.00, 47.10
India, 18-12-2016, W, 6.64, 403003342.00, 45.05
India, 25-12-2016, W, 6.85, 405160462.00, 45.37
India, 01-01-2017, W, 5.49, 402443295.00, 44.40
India, 08-01-2017, W, 5.75, 413673095.00, 45.75
India, 15-01-2017, W, 5.74, 401820733.00, 44.41
India, 22-01-2017, W, 4.55, 437108777.00, 47.69
India, 29-01-2017, W, 5.89, 417061086.00, 46.13
India, 05-02-2017, W, 7.08, 412985056.00, 46.24
India, 12-02-2017, W, 4.67, 425632040.00, 46.43
India, 19-02-2017, W, 4.12, 406832309.00, 44.11
India, 26-02-2017, W, 4.18, 419226447.00, 45.46
India, 05-03-2017, W, 4.63, 400563744.00, 43.62
India, 12-03-2017, W, 4.15, 404487575.00, 43.81
India, 19-03-2017, W, 3.82, 404985797.00, 43.69
India, 26-03-2017, W, 4.43, 405428319.00, 44.00
India, 02-04-2017, W, 4.04, 410612230.00, 44.36
India, 09-04-2017, W, 4.06, 410567183.00, 44.34
India, 16-04-2017, W, 4.35, 412418372.00, 44.66
India, 23-04-2017, W, 3.21, 401448608.00, 42.94
India, 30-04-2017, W, 4.00, 397059028.00, 42.80
India, 07-05-2017, W, 3.66, 411951221.00, 44.23
India, 14-05-2017, W, 3.23, 415957761.00, 44.44
India, 21-05-2017, W, 3.92, 402425250.00, 43.28
India, 28-05-2017, W, 4.04, 408871562.00, 44.01
India, 04-06-2017, W, 3.44, 412959990.00, 44.16
India, 11-06-2017, W, 3.33, 415314587.00, 44.34
India, 18-06-2017, W, 3.63, 410120665.00, 43.90
India, 25-06-2017, W, 3.54, 412523071.00, 44.10
India, 02-07-2017, W, 5.61, 411649020.00, 44.95
India, 09-07-2017, W, 2.88, 404602149.00, 42.92
India, 16-07-2017, W, 3.29, 401948305.00, 42.80
India, 23-07-2017, W, 3.12, 404043257.00, 42.93
India, 30-07-2017, W, 2.96, 405866989.00, 43.03
India, 06-08-2017, W, 3.14, 414189081.00, 43.97
India, 13-08-2017, W, 4.37, 406296758.00, 43.67
India, 20-08-2017, W, 4.12, 403867660.00, 43.27
India, 27-08-2017, W, 3.55, 407218960.00, 43.35
India, 03-09-2017, W, 4.22, 419138623.00, 44.92
India, 10-09-2017, W, 4.99, 405639958.00, 43.80
India, 17-09-2017, W, 4.11, 415692012.00, 44.45
India, 24-09-2017, W, 3.59, 403606798.00, 42.91
India, 01-10-2017, W, 4.43, 410526592.00, 44.01
India, 08-10-2017, W, 5.30, 416223106.00, 45.01
India, 15-10-2017, W, 4.96, 406740665.00, 43.81
India, 22-10-2017, W, 6.47, 418948309.00, 45.83
India, 29-10-2017, W, 4.32, 404189405.00, 43.21
India, 05-11-2017, W, 5.38, 407217383.00, 44.00
India, 12-11-2017, W, 5.71, 402530097.00, 43.62
India, 19-11-2017, W, 4.97, 414097387.00, 44.51
India, 26-11-2017, W, 3.91, 409487569.00, 43.51
India, 03-12-2017, W, 4.63, 411315757.00, 44.01
India, 10-12-2017, W, 4.50, 411327686.00, 43.93
India, 17-12-2017, W, 4.98, 416386485.00, 44.68
India, 24-12-2017, W, 4.82, 401183807.00, 42.96
India, 31-12-2017, W, 5.45, 409032087.00, 44.07
India, 07-01-2018, W, 5.39, 395469333.00, 42.56
India, 14-01-2018, W, 4.50, 409673159.00, 43.65
India, 21-01-2018, W, 4.60, 404937653.00, 43.18
India, 28-01-2018, W, 5.21, 397688657.00, 42.66
India, 04-02-2018, W, 5.20, 409454638.00, 43.90
India, 11-02-2018, W, 6.37, 408877812.00, 44.36
India, 18-02-2018, W, 5.97, 403291427.00, 43.55
India, 25-02-2018, W, 7.50, 409776855.00, 44.96
India, 04-03-2018, W, 7.09, 397929993.00, 43.45
India, 11-03-2018, W, 6.10, 397107912.00, 42.88
India, 18-03-2018, W, 6.37, 396822319.00, 42.96
India, 25-03-2018, W, 6.02, 403381425.00, 43.48
India, 01-04-2018, W, 6.41, 401245466.00, 43.41
