Unemployment_Rate : Urban
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
India, 03-01-2016, W, 8.30, 110447642.00, 38.44
India, 10-01-2016, W, 10.41, 126412852.00, 45.01
India, 17-01-2016, W, 9.67, 126174091.00, 44.54
India, 24-01-2016, W, 9.78, 127746557.00, 45.13
India, 31-01-2016, W, 9.78, 124854386.00, 44.09
India, 07-02-2016, W, 10.60, 128047899.00, 45.61
India, 14-02-2016, W, 10.59, 123081128.00, 43.81
India, 21-02-2016, W, 10.61, 129641511.00, 46.13
India, 28-02-2016, W, 9.21, 126004502.00, 44.12
India, 06-03-2016, W, 10.54, 128737887.00, 45.73
India, 13-03-2016, W, 10.66, 127107821.00, 45.19
India, 20-03-2016, W, 11.19, 124189727.00, 44.40
India, 27-03-2016, W, 12.62, 122696566.00, 44.56
India, 03-04-2016, W, 11.82, 127432483.00, 45.84
India, 10-04-2016, W, 12.72, 123614589.00, 44.90
India, 17-04-2016, W, 11.96, 128205921.00, 46.15
India, 24-04-2016, W, 11.30, 126564318.00, 45.19
India, 01-05-2016, W, 11.06, 127796858.00, 45.49
India, 08-05-2016, W, 10.67, 132056370.00, 46.78
India, 15-05-2016, W, 11.94, 125781557.00, 45.17
India, 22-05-2016, W, 12.98, 126847387.00, 46.08
India, 29-05-2016, W, 11.39, 125590635.00, 44.78
India, 05-06-2016, W, 10.03, 126630245.00, 44.45
India, 12-06-2016, W, 9.94, 130402333.00, 45.70
India, 19-06-2016, W, 11.06, 130999438.00, 46.47
India, 26-06-2016, W, 10.05, 127883187.00, 44.83
India, 03-07-2016, W, 10.82, 125919918.00, 44.51
India, 10-07-2016, W, 9.44, 125622207.00, 43.70
India, 17-07-2016, W, 10.54, 127074684.00, 44.73
India, 24-07-2016, W, 11.39, 128313441.00, 45.58
India, 31-07-2016, W, 12.07, 128264237.00, 45.89
India, 07-08-2016, W, 10.98, 131371747.00, 46.40
India, 14-08-2016, W, 11.98, 128108509.00, 45.74
India, 21-08-2016, W, 11.17, 129144750.00, 45.67
India, 28-08-2016, W, 10.14, 127114954.00, 44.42
India, 04-09-2016, W, 10.36, 129071416.00, 45.19
India, 11-09-2016, W, 8.73, 132539166.00, 45.55
India, 18-09-2016, W, 9.32, 132004073.00, 45.64
India, 25-09-2016, W, 10.54, 130406222.00, 45.68
India, 02-10-2016, W, 9.48, 131413911.00, 45.47
India, 09-10-2016, W, 8.79, 133328965.00, 45.76
India, 16-10-2016, W, 5.19, 136427520.00, 45.03
India, 23-10-2016, W, 6.28, 134530109.00, 44.90
India, 30-10-2016, W, 6.43, 133656762.00, 44.65
